phylum,36_30,8-12cm,30-32cm,52-54cm
Lokiarchaeota,97,126,56,118
Bathyarchaeota,2269,992,2623,4145
WSA2,0,0,0,0
Woesearchaeota (DHVEG-6),0,22,27,22
unculltured,28,39,0,0
Thaumarchaeota,0,8,0,0
Hadesarchaea,35,0,27,95
Euryarchaeota,633,997,491,423
Aenigmarchaeota,32,0,131,178
All other archaea,42,23,45,70
Proteobacteria,1691,9260,1032,1003
Planctomycetes,768,1065,1232,651
Omnitrophica,28,106,30,62
Nitrospirae,14,568,11,0
Latescibacteria,178,706,115,38
GN01,7,20,16,14
Gemmatimonadetes,18,594,57,76
Chloroflexi,3425,3099,2918,2691
Bacteroidetes,40,1119,49,42
Aminicenantes,336,123,385,739
Actinobacteria,0,29,9,0
Acidobacteria,34,680,23,11
All other bacteria,446,1652,729,470